date,dau
2016-08-01,1197
2016-08-02,1799
2016-08-03,2481
2016-08-04,2959
2016-08-05,2745
2016-08-06,1611
2016-08-07,1440
2016-08-08,2463
2016-08-09,2600
2016-08-10,2638
2016-08-11,2443
2016-08-12,2429
2016-08-13,1605
2016-08-14,1546
2016-08-15,2723
2016-08-16,2637
2016-08-17,2578
2016-08-18,2487
2016-08-19,2333
2016-08-20,1683
2016-08-21,1535
2016-08-22,2256
2016-08-23,2522
2016-08-24,2420
2016-08-25,2344
2016-08-26,2358
2016-08-27,1638
2016-08-28,1512
2016-08-29,2187
2016-08-30,2321
2016-08-31,3075
2016-09-01,2515
2016-09-02,2488
2016-09-03,1759
2016-09-04,1567
2016-09-05,1935
2016-09-06,2328
2016-09-07,2355
2016-09-08,2351
2016-09-09,2530
2016-09-10,1617
2016-09-11,1577
2016-09-12,2164
2016-09-13,2207
2016-09-14,2395
2016-09-15,2631
2016-09-16,2540
2016-09-17,1838
2016-09-18,1614
2016-09-19,2361
2016-09-20,2495
2016-09-21,2531
2016-09-22,2449
2016-09-23,2242
2016-09-24,1767
2016-09-25,1659
2016-09-26,2462
2016-09-27,2541
2016-09-28,2384
2016-09-29,2286
2016-09-30,2211
2016-10-01,1635
2016-10-02,1492
2016-10-03,2146
2016-10-04,3604
2016-10-05,3846
2016-10-06,2904
2016-10-07,2809
2016-10-08,2039
2016-10-09,1972
2016-10-10,2560
2016-10-11,2688
2016-10-12,2641
2016-10-13,2675
2016-10-14,2708
2016-10-15,2343
2016-10-16,2398
2016-10-17,3131
2016-10-18,3281
2016-10-19,3351
2016-10-20,3534
2016-10-21,3363
2016-10-22,2966
2016-10-23,2763
2016-10-24,3707
2016-10-25,3691
2016-10-26,4089
2016-10-27,3961
2016-10-28,3744
2016-10-29,2935
2016-10-30,2840
2016-10-31,3625
2016-11-01,3518
2016-11-02,3708
2016-11-03,3784
2016-11-04,3578
2016-11-05,2989
2016-11-06,2782
2016-11-07,3658
2016-11-08,3759
2016-11-09,3548
2016-11-10,3765
2016-11-11,3620
2016-11-12,3076
2016-11-13,2821
2016-11-14,3704
2016-11-15,4408
2016-11-16,4222
2016-11-17,3929
2016-11-18,3656
2016-11-19,2958
2016-11-20,2872
2016-11-21,3877
2016-11-22,3771
2016-11-23,3624
2016-11-24,3514
2016-11-25,3758
2016-11-26,3167
2016-11-27,3054
2016-11-28,4165
2016-11-29,4339
2016-11-30,4095
2016-12-01,4007
2016-12-02,3614
2016-12-03,3058
2016-12-04,2807
2016-12-05,3805
2016-12-06,3232
2016-12-07,2519
2016-12-08,2753
2016-12-09,2679
2016-12-10,2046
2016-12-11,1948
2016-12-12,2814
2016-12-13,3022
2016-12-14,2821
2016-12-15,2607
2016-12-16,2589
2016-12-17,2428
2016-12-18,1859
2016-12-19,2861
2016-12-20,2800
2016-12-21,2536
2016-12-22,2014
2016-12-23,1599
2016-12-24,1216
2016-12-25,1206
2016-12-26,1453
2016-12-27,1686
2016-12-28,1657
2016-12-29,1541
2016-12-30,1098
2016-12-31,1278
2017-01-01,1139
2017-01-02,1452
2017-01-03,2074
2017-01-04,2129
2017-01-05,2080
2017-01-06,2088
2017-01-07,1559
2017-01-08,1435
2017-01-09,2030
2017-01-10,2118
2017-01-11,2079
2017-01-12,2023
2017-01-13,1908
2017-01-14,1407
2017-01-15,1401
2017-01-16,1788
2017-01-17,2134
2017-01-18,2017
2017-01-19,1915
2017-01-20,2014
2017-01-21,1563
2017-01-22,1473
2017-01-23,1990
2017-01-24,2778
2017-01-25,3312
2017-01-26,2195
2017-01-27,1889
2017-01-28,1452
2017-01-29,1634
2017-01-30,2047
2017-01-31,2125
2017-02-01,2176
